Sin título1.acq
Gráfico creado el:2026-06-19 15:39:43.750
Registro en:2026-06-19 17:09:16.427
1 mseg/muestras
2 canales
ECG (.05 - 150 Hz)
mV
EEG (.5 - 100 Hz, con Filtro Red) 
micro V
min	CH1	CH2	
	144925 samples	144925 samples	
0.00713333	0.118408	32.5165	
0.00715	0.116882	34.8816	
0.00716667	0.112915	35.7819	
0.00718333	0.104065	30.8075	
0.0072	0.0933838	18.0817	
0.00721667	0.071106	8.81958	
0.00723333	0.0411987	13.4888	
0.00725	0.0186157	25.1312	
0.00726667	0.0115967	35.5988	
0.00728333	0.0109863	43.2281	
0.0073	0.0189209	42.7856	
0.00731667	0.0344849	31.6772	
0.00733333	0.0500488	18.219	
0.00735	0.065918	14.4806	
0.00736667	0.0799561	19.5618	
0.00738333	0.0915527	24.0021	
0.0074	0.100708	28.9764	
0.00741667	0.10498	32.8827	
0.00743333	0.101929	35.2173	
0.00745	0.093689	35.2631	
0.00746667	0.0839233	29.953	
0.00748333	0.0802612	16.7084	
0.0075	0.0772095	9.552	
0.00751667	0.0717163	16.4337	
0.00753333	0.0680542	26.7792	
0.00755	0.0695801	34.1034	
0.00756667	0.072937	37.3383	
0.00758333	0.0820923	32.8827	
0.0076	0.0888062	22.3389	
0.00761667	0.0912476	14.2517	
0.00763333	0.0878906	18.219	
0.00765	0.0775146	24.2004	
0.00766667	0.0683594	27.4658	
0.00768333	0.0643921	31.0516	
0.0077	0.0549316	33.3557	
0.00771667	0.039978	34.668	
0.00773333	0.0238037	32.4249	
0.00775	0.0109863	22.2931	
0.00776667	0.00701904	9.99451	
0.00778333	0.0128174	10.0098	
0.0078	0.0228882	22.522	
0.00781667	0.0415039	35.0647	
0.00783333	0.0695801	42.5873	
0.00785	0.104675	42.9993	
0.00786667	0.144958	32.3486	
0.00788333	0.185547	18.0359	
0.0079	0.221252	10.6201	
0.00791667	0.258179	14.0991	
0.00793333	0.293579	19.5465	
0.00795	0.324097	25.2838	
0.00796667	0.346375	30.365	
0.00798333	0.365295	32.1503	
0.008	0.384216	30.8685	
0.00801667	0.401306	24.9939	
0.00803333	0.411072	12.8479	
0.00805	0.408325	4.05884	
0.00806667	0.396729	8.71277	
0.00808333	0.379944	19.7906	
0.0081	0.361633	27.7863	
0.00811667	0.348206	30.9906	
0.00813333	0.339966	27.8778	
0.00815	0.326538	17.4255	
0.00816667	0.303345	5.5542	
0.00818333	0.272217	4.79126	
0.0082	0.237732	13.0463	
0.00821667	0.192261	20.5231	
0.00823333	0.1474	28.3051	
0.00825	0.0900269	33.7372	
